,año,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
85,2019,1,5646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,31.67,974.38,306.39,1280.77,27.98,1252.79
86,2019,1,7750,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54,71.69,436.76,131.97,568.73,21.54,547.19
87,2019,1,7708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.39,31.67,974.38,306.39,1280.77,22.39,1258.38
89,2019,1,7833,0.0,0.0,0.0,0.0,0.0,0.0,361.53,0.0,0.0,0.0,0.0,13.52,39.93,826.5,39.93,866.43,375.05,491.38
90,2019,1,5679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,35.62,0.0,1220.68,372.65,1593.33,38.0,1555.33
91,2019,1,7530,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.35,38.26,871.38,158.48,1029.86,26.35,1003.51
92,2019,1,6028,1.0,0.0,0.0,0.0,0.0,399.3,0.0,0.0,0.0,22.97,0.0,34.39,0.0,1355.13,296.26,1651.39,457.66,1193.73
93,2019,1,6565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42,38.26,871.38,158.48,1029.86,28.42,1001.44
94,2019,1,7731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.62,33.95,938.63,231.42,1170.05,24.62,1145.43
95,2019,1,7753,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,12.1,0.0,26.9,0.0,1399.43,114.43,1513.86,184.2,1329.66
96,2019,1,3676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.35,0.0,35.79,0.0,1422.98,328.59,1751.57,67.14,1684.43
97,2019,1,3221,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.39,0.0,33.33,0.0,1437.49,446.33,1883.82,75.72,1808.1
98,2019,1,7741,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,38.9,861.38,159.12,1020.5,20.83,999.67
99,2019,1,7779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,27.37,0.0,1213.18,338.95,1552.13,28.93,1523.2
100,2019,1,7269,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38,38.26,871.38,185.31,1056.69,26.38,1030.31
101,2019,1,2522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19,37.85,877.82,164.5,1042.32,28.19,1014.13
102,2019,1,236,1.0,0.0,0.0,0.0,0.0,523.01,0.0,0.0,0.0,172.01,0.0,68.68,0.0,2064.81,359.49,2424.3,764.7,1659.6
103,2019,1,7080,1.0,0.0,0.0,0.0,0.0,0.0,146.75,0.0,0.0,0.0,0.0,35.71,5.58,1294.86,336.57,1631.43,183.46,1447.97
104,2019,1,5965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08,0.0,31.39,0.0,1282.64,375.76,1658.4,47.47,1610.93
105,2019,1,5447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.77,0.0,26.9,0.0,2107.04,246.04,2353.08,206.67,2146.41
106,2019,1,7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2019,1,6685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.26,4.4,1167.51,356.36,1523.87,23.26,1500.61
108,2019,1,5549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,37.44,884.26,248.86,1133.12,25.52,1107.6
109,2019,1,854,1.0,0.0,0.0,0.0,0.0,326.19,0.0,0.0,0.0,59.69,0.0,38.44,0.0,1605.64,238.44,1844.08,425.32,1418.76
110,2019,1,7295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,30.02,1000.13,330.49,1330.62,27.94,1302.68
111,2019,1,6832,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.02,38.26,871.38,158.48,1029.86,27.02,1002.84
112,2019,1,4807,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.35,0.0,161.3,0.0,3783.66,564.2,4347.86,672.65,3675.21
113,2019,1,6821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.56,9.11,1119.61,350.92,1470.53,39.56,1430.97
114,2019,1,3169,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48,38.26,871.38,292.65,1164.03,26.48,1137.55
115,2019,1,4514,1.0,0.0,0.0,0.0,0.0,550.29,0.0,0.0,0.0,29.73,0.0,53.47,0.0,1417.3,375.63,1792.93,634.49,1158.44
116,2019,1,7814,1.0,0.0,0.0,0.0,0.0,0.0,144.2,0.0,0.0,0.0,0.0,20.88,43.93,899.43,158.36,1057.79,166.08,891.71
117,2019,1,7104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.63,0.0,27.29,0.0,1504.04,143.04,1647.08,76.92,1570.16
118,2019,1,7754,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,31.67,974.38,306.39,1280.77,23.25,1257.52
119,2019,1,7717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,0.0,33.88,0.0,1431.09,377.84,1808.93,66.11,1742.82
120,2019,1,6014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.02,3.52,1175.52,247.0,1422.52,28.02,1394.5
121,2019,1,7775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97,33.95,938.63,231.42,1170.05,21.97,1148.08
122,2019,1,7783,0.0,0.0,0.0,0.0,0.0,0.0,143.23,0.0,0.0,24.62,0.0,32.0,0.0,1513.55,306.05,1819.6,199.85,1619.75
123,2019,1,7551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.0,30.29,0.0,1228.86,274.72,1503.58,40.52,1463.06
124,2019,1,7715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.65,38.26,871.38,209.98,1081.36,25.65,1055.71
125,2019,1,3827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.68,32.59,959.92,188.6,1148.52,28.68,1119.84
126,2019,1,5412,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.32,38.9,861.38,293.29,1154.67,21.32,1133.35
127,2019,1,4504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.62,0.0,57.11,0.0,2199.89,318.38,2518.27,251.73,2266.54
128,2019,1,7395,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.32,0.0,26.4,0.0,1491.94,435.55,1927.49,74.72,1852.77
129,2019,1,214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.35,0.0,161.69,0.0,3783.66,564.2,4347.86,673.04,3674.82
130,2019,1,6321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.12,34.24,934.17,193.57,1127.74,28.12,1099.62
131,2019,1,5232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.77,0.0,33.46,0.0,2207.04,246.04,2453.08,229.23,2223.85
133,2019,1,4958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.83,30.02,1000.13,330.49,1330.62,27.83,1302.79
134,2019,1,3979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.97,0.0,152.85,0.0,3365.2,519.23,3884.43,574.82,3309.61
135,2019,1,442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93,0.0,38.94,0.0,1382.36,207.78,1590.14,65.87,1524.27
136,2019,1,7699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,38.26,871.38,209.98,1081.36,22.33,1059.03
137,2019,1,7330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2019,1,7719,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25,30.02,1000.13,330.49,1330.62,25.25,1305.37
139,2019,1,7841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,21.47,331.35,21.47,352.82,7.99,344.83
140,2019,1,7421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04,0.0,25.43,0.0,1553.76,351.96,1905.72,80.47,1825.25
141,2019,1,7776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83,38.9,861.38,159.12,1020.5,20.83,999.67
142,2019,1,7823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38,34.14,935.76,270.23,1205.99,22.38,1183.61
143,2019,1,7298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,48.33,0.0,1582.19,370.5,1952.69,106.47,1846.22
144,2019,1,7758,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.01,38.26,871.38,158.48,1029.86,25.01,1004.85
