,sem,codigo,vales,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto
107,1,7555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.72,0.0,21.36,0.0,1325.27,219.62,1544.89,42.08,1502.81
108,1,116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.75,0.0,40.64,0.0,1587.87,207.65,1795.52,99.39,1696.13
109,1,5506,1.0,0.0,0.0,0.0,0.0,0.0,272.82,0.0,0.0,0.0,0.0,20.59,38.74,981.37,164.44,1145.81,294.41,851.4
110,1,7167,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.82,38.26,871.38,202.66,1074.04,72.82,1001.22
111,1,236,1.0,0.0,0.0,0.0,0.0,491.03,0.0,0.0,0.0,162.8,0.0,55.28,0.0,2007.27,301.96,2309.23,710.11,1599.12
112,1,7080,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.59,0.0,38.75,0.0,1305.66,232.04,1537.7,57.34,1480.36
113,1,5965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.89,10.96,1090.76,166.28,1257.04,27.89,1229.15
114,1,7457,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.74,0.0,20.07,0.0,1371.38,120.22,1491.6,45.81,1445.79
115,1,5168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.65,0.0,21.48,0.0,1361.38,120.22,1481.6,46.13,1435.47
116,1,5447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95,0.0,20.16,0.0,1626.46,219.62,1846.08,83.11,1762.97
117,1,6685,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.71,38.26,871.38,158.48,1029.86,21.71,1008.15
118,1,7489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.04,18.33,1081.23,182.73,1263.96,23.04,1240.92
