,año,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
116,2019,1,7717,7.0,5.0,878.01,307.65,60.0,60.0,189.7,0.0,0.0,250.86,0.0,62.71,0.0,0.0,0.0,0.0,0.0,0.0,0.00
117,2019,1,6014,7.0,5.0,856.94,152.67,60.0,60.0,161.53,91.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.05,0.0,0.00
118,2019,1,7775,7.0,5.0,721.0,30.38,60.0,50.0,120.22,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
119,2019,1,7783,7.0,4.0,856.94,133.96,0.0,50.0,0.0,244.84,91.81,244.84,0.0,61.21,136.0,0.0,0.0,0.0,0.0,0.0,0.00
120,2019,1,7551,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,206.0,0.0,51.5,254.48,0.0,0.0,0.0,0.0,0.0,0.00
121,2019,1,7715,7.0,5.0,721.0,30.38,60.0,60.0,120.22,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00
122,2019,1,3827,7.0,5.0,721.0,93.17,60.0,60.0,130.26,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
123,2019,1,5412,7.0,5.0,721.0,30.38,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.17,0.0,0.00
124,2019,1,4504,7.0,5.0,1484.91,504.98,60.0,50.0,318.38,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.00
125,2019,1,7395,7.0,5.0,721.0,123.06,60.0,60.0,135.04,231.75,309.0,206.0,0.0,51.5,0.0,0.0,0.0,0.0,30.14,0.0,0.00
126,2019,1,214,7.0,5.0,2439.5,1224.16,60.0,60.0,564.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
