,sem,codigo,dias_pag,dias_lab,sueldo,comp,asist,transp,vales,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util
53,1,4314,7.0,5.0,856.31,681.45,60.0,60.0,246.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,6193,7.0,5.0,816.13,154.63,60.0,60.0,155.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,5332,7.0,5.0,618.52,132.86,60.0,50.0,120.22,66.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,7485,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1,4287,7.0,4.0,816.13,123.7,0.0,40.0,124.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,6427,7.0,5.0,618.52,195.65,60.0,60.0,130.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.23,0.0,0.0
59,1,6504,7.0,5.0,618.52,132.86,60.0,60.0,120.22,22.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,7517,7.0,4.0,618.52,106.28,0.0,40.0,96.17,0.0,0.0,0.0,132.54,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1,5745,7.0,5.0,618.52,132.86,60.0,60.0,120.22,88.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1,6884,7.0,3.0,618.52,88.82,0.0,40.0,80.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1,6849,7.0,5.0,618.52,132.86,60.0,60.0,120.22,198.81,397.62,154.63,154.63,44.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1,7061,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,99.4,0.0,600.0,500.0,0.0,0.0,0.0,0.0,0.0
65,1,881,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1,6334,7.0,5.0,797.16,99.89,60.0,60.0,143.52,71.17,0.0,0.0,0.0,0.0,197.72,0.0,0.0,0.0,0.0,0.0,0.0
67,1,2413,3.0,2.0,272.82,80.96,20.0,20.0,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1,7428,7.0,5.0,618.52,132.86,60.0,60.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1,7567,7.0,5.0,618.52,132.86,60.0,60.0,120.22,66.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1,2897,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1,7558,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0
72,1,6360,7.0,5.0,618.52,132.86,60.0,50.0,120.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.17,0.0,0.0
73,1,7572,3.0,2.0,123.7,26.57,20.0,10.0,24.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
