sem_x,codigo_x,dias_pag,dias_lab,sueldo,comp,asist,transp,vales_x,te_dob,te_trip,desc_Lab,fest_lab,dominic,perc_grav,obj,aguin,vac,prim_vac,grat_esp,util,PK,sem_y,codigo_y,vales_y,zapatos,otras,fonac,alim,infon,falt,enf,ries,ISPT,ISPTA,IMSS,subs,t_per_g,t_per_e,t_per,t_ded,neto,antig,depto,puesto,label,tiempov,dist,delitos,label2
1,4314,7,5,856.31,681.45,60,60,246.04,0,0,0,0,0,0,0,0,0,0,0,0,14314,1,4314,1,0,0,0,0,0,0,0,0,73.63,0,52.16,0,1657.76,246.04,1903.8,126.79,1777.01,2826,5,173,sigue,31.494,58.26666667,22,1
1,6193,7,5,816.13,154.63,60,60,155.32,0,0,0,0,0,0,0,0,0,0,0,0,16193,1,6193,1,0,0,0,0,0,0,0,0,0,0,26.32,10.96,1090.76,166.28,1257.04,27.32,1229.72,1090,61,14,fue,7.589,16.23333333,0,0
1,5332,7,5,618.52,132.86,60,50,120.22,66.27,0,0,0,0,0,0,0,0,0,0,0,15332,1,5332,1,0,0,0,0,0,0,0,0,0,0,19.81,36.78,894.52,190.13,1084.65,20.81,1063.84,404,25,1,fue,9.567,20.68333333,0,0
1,7485,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17485,1,7485,1,0,0,0,0,0,0,0,0,0,0,23.11,38.26,871.38,158.48,1029.86,24.11,1005.75,437,85,1,fue,8.507,14.65,0,0
1,4287,7,4,816.13,123.7,0,40,124.25,0,0,0,0,0,0,0,0,0,0,0,0,14287,1,4287,1,0,0,0,0,0,163.22,0,0,0,0,23.43,35.8,979.83,160.05,1139.88,187.65,952.23,2728,4,14,fue,13.305,23.95,79,0
1,6427,7,5,618.52,195.65,60,60,130.26,0,0,0,0,0,0,0,0,0,87.23,0,0,16427,1,6427,1,0,0,0,0,0,0,0,0,0,0,22.15,34.24,934.17,251.73,1185.9,23.15,1162.75,1064,66,38,fue,8.154,10.35,0,0
1,6504,7,5,618.52,132.86,60,60,120.22,22.09,0,0,0,0,0,0,0,0,0,0,0,16504,1,6504,1,0,0,0,0,0,0,0,0,0,0,22.9,37.55,882.43,168.81,1051.24,23.9,1027.34,1231,76,1,sigue,11.491,21.63333333,0,1
1,7517,7,4,618.52,106.28,0,40,96.17,0,0,0,132.54,0,600,0,0,0,0,0,0,17517,1,7517,1,0,0,0,0,0,123.7,0,0,17.77,0,23.65,0,1431.07,162.44,1593.51,166.12,1427.39,109,83,1,fue,3.351,10.55,0,0
1,5745,7,5,618.52,132.86,60,60,120.22,88.36,0,0,0,0,0,0,0,0,0,0,0,15745,1,5745,1,0,0,0,0,0,0,0,0,0,0,20.28,35.43,915.56,199.83,1115.39,21.28,1094.11,1649,45,1,fue,10.64,21.03333333,0,0
1,6884,7,3,618.52,88.82,0,40,80.37,0,0,0,0,0,0,0,0,0,0,0,0,16884,1,6884,1,0,0,0,0,0,206.76,0,0,0,0,16.23,46.46,747.34,126.83,874.17,223.99,650.18,584,45,1,fue,20.123,37.98333333,0,0
1,6849,7,5,618.52,132.86,60,60,120.22,198.81,397.62,154.63,154.63,44.18,0,0,0,0,0,0,0,16849,1,6849,1,0,0,0,0,0,0,0,0,50.7,0,29.52,0,1523.05,418.42,1941.47,81.22,1860.25,805,85,1,fue,8.99,17.6,0,0
1,6849,7,5,618.52,132.86,60,60,120.22,198.81,397.62,154.63,154.63,44.18,0,0,0,0,0,0,0,16849,16,849,1,0,0,0,0,0,0,0,0,0,0,27.9,19.62,1061.11,158.19,1219.3,28.9,1190.4,805,85,1,fue,8.99,17.6,0,0
16,849,7,6,816.13,49.98,60,50,138.57,0,0,0,0,0,85,0,0,0,0,0,0,16849,1,6849,1,0,0,0,0,0,0,0,0,50.7,0,29.52,0,1523.05,418.42,1941.47,81.22,1860.25,7971,4,37,sigue,12.94,22.95,23,1
16,849,7,6,816.13,49.98,60,50,138.57,0,0,0,0,0,85,0,0,0,0,0,0,16849,16,849,1,0,0,0,0,0,0,0,0,0,0,27.9,19.62,1061.11,158.19,1219.3,28.9,1190.4,7971,4,37,sigue,12.94,22.95,23,1
1,7061,7,5,618.52,132.86,60,60,120.22,0,0,0,99.4,0,600,500,0,0,0,0,0,17061,1,7061,1,0,0,0,0,0,0,0,0,165.01,0,23.32,0,2021.08,169.92,2191,189.33,2001.67,195,61,1,sigue,14.702,27.51666667,0,1
1,881,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,0,0,0,0,0,0,1881,1,881,1,0,0,0,0,0,0,0,0,0,0,20.45,38.9,861.38,159.12,1020.5,21.45,999.05,9254,81,1,fue,2.564,12.5,49,0
1,6334,7,5,797.16,99.89,60,60,143.52,71.17,0,0,0,0,197.72,0,0,0,0,0,0,16334,1,6334,1,0,0,0,0,0,0,0,0,11.57,0,29.31,0,1250.36,179.1,1429.46,41.88,1387.58,1002,11,509,fue,12.682,28.4,21,0
1,2413,3,2,272.82,80.96,20,20,56.6,0,0,0,0,0,0,0,0,0,0,0,0,12413,1,2413,1,0,0,0,0,0,0,0,0,0,0,11.26,15.09,393.78,71.69,465.47,12.26,453.21,52,52,16,fue,4.489,15.15,70,0
1,7428,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17428,1,7428,1,0,0,0,0,0,0,0,0,0,0,23.16,38.26,871.38,158.48,1029.86,24.16,1005.7,543,72,1,sigue,11.985,31.08333333,0,1
1,7567,7,5,618.52,132.86,60,60,120.22,66.27,0,0,0,0,0,0,0,0,0,0,0,17567,1,7567,1,0,0,0,0,0,0,0,0,0,0,20.55,36.14,904.52,189.49,1094.01,21.55,1072.46,77,25,1,fue,16.138,30.01666667,0,0
1,2897,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,96,0,0,0,0,0,0,12897,1,2897,1,0,0,0,0,0,0,0,0,0,0,20.73,32.75,957.38,152.97,1110.35,21.73,1088.62,717,81,1,sigue,20.168,35.95,68,1
1,7558,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,500,0,0,0,0,0,17558,1,7558,1,0,0,0,0,0,0,0,0,23.65,0,26.12,0,1361.38,120.22,1481.6,50.77,1430.83,389,5,1,sigue,5.913,14.41666667,139,1
1,6360,7,5,618.52,132.86,60,50,120.22,0,0,0,0,0,0,0,0,0,134.17,0,0,16360,1,6360,1,0,0,0,0,0,0,0,0,0,0,20.48,38.9,861.38,293.29,1154.67,21.48,1133.19,83,52,1,sigue,2.478,8.583333333,49,1
1,7572,3,2,123.7,26.57,20,10,24.04,0,0,0,0,0,0,0,0,0,0,0,0,17572,1,7572,1,0,0,0,0,0,0,0,0,0,0,7.99,31.16,180.27,55.2,235.47,8.99,226.48,6,74,1,fue,17.953,46.65,8,0
1,3318,7,5,1020.18,863.38,60,50,301.36,0,0,0,0,0,115,0,0,0,0,0,0,13318,1,3318,1,0,0,0,0,469.96,0,0,0,179.01,0,55.88,0,2108.56,301.36,2409.92,705.85,1704.07,3689,81,183,sigue,41.195,53.88333333,0,1
1,5139,7,5,1400,436.8,60,60,293.88,0,0,0,0,0,681.29,0,0,0,0,0,0,15139,1,5139,1,0,0,0,0,712.24,0,0,0,270.04,0,71.01,0,2638.09,293.88,2931.97,1054.29,1877.68,1308,76,486,sigue,8.76,21.71666667,0,1
1,6083,7,5,618.52,195.65,60,60,130.26,0,0,0,0,44.18,0,0,0,0,0,0,0,16083,1,6083,1,0,0,0,0,0,0,0,0,0,0,23.01,34.24,934.17,208.68,1142.85,24.01,1118.84,1448,51,2,sigue,31.195,54.91666667,0,1
1,6766,7,5,816.13,154.63,60,60,155.32,87.44,174.88,0,0,0,0,0,0,0,0,0,0,16766,1,6766,1,0,0,0,0,0,0,0,0,17.99,0,30.73,0,1309.36,199.04,1508.4,49.72,1458.68,1085,3,178,sigue,11.067,26.78333333,13,1
1,4137,7,5,1964.97,801.15,60,60,442.57,0,0,0,0,0,0,0,0,0,0,0,0,14137,1,4137,1,0,0,0,0,0,0,0,0,318.64,0,102.55,0,2886.12,442.57,3328.69,422.19,2906.5,2967,6,169,sigue,4.346,12.98333333,0,1
1,7542,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17542,1,7542,1,0,0,0,0,0,0,0,0,0,0,20.59,38.26,871.38,158.48,1029.86,21.59,1008.27,418,57,1,sigue,1.869,6.883333333,0,1
1,3780,7,5,878.01,429.45,60,60,209.19,0,0,0,0,62.71,0,0,0,0,0,0,0,13780,1,3780,1,0,0,0,0,0,0,0,0,30.84,0,34.85,0,1427.46,271.9,1699.36,66.69,1632.67,3251,5,19,sigue,19.545,35.35,0,1
1,7571,3,2,206.76,44.41,20,20,40.18,0,0,0,0,0,0,0,0,0,0,0,0,17571,1,7571,1,0,0,0,0,0,0,0,0,0,0,7.99,24.04,291.17,64.22,355.39,8.99,346.4,87,52,1,fue,2.037,5.75,8,0
1,6205,7,5,618.52,132.86,60,60,120.22,0,0,0,0,44.18,0,0,0,0,0,0,0,16205,1,6205,1,0,0,0,0,0,0,0,0,0,0,23.39,38.26,871.38,202.66,1074.04,24.39,1049.65,1385,85,0003B,sigue,4.94,6.433333333,0,1
1,5027,7,5,618.52,195.65,60,60,130.26,0,0,0,0,0,216,0,0,0,0,0,0,15027,1,5027,1,0,0,0,0,0,0,0,0,0,0,30.19,6.28,1150.17,136.54,1286.71,31.19,1255.52,2382,82,0003A,sigue,26.874,45.88333333,0,1
1,7245,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17245,1,7245,1,0,0,0,0,0,0,0,0,0,0,20.06,38.26,871.38,158.48,1029.86,21.06,1008.8,483,76,1,fue,7.3,18.56666667,0,0
1,6839,7,5,618.52,132.86,60,60,120.22,88.36,0,0,0,0,0,0,0,0,0,0,0,16839,1,6839,1,0,0,0,0,0,0,0,0,0,0,20.23,35.43,915.56,199.83,1115.39,21.23,1094.16,1029,75,1,sigue,20.996,46.11666667,33,1
1,5646,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,15646,1,5646,1,0,0,0,0,0,0,0,0,0,0,20.48,38.26,871.38,158.48,1029.86,21.48,1008.38,1883,51,1,sigue,12.894,23.85,20,1
1,6978,7,5,618.52,132.86,60,60,120.22,44.18,0,0,0,0,0,0,0,0,0,0,0,16978,1,6978,1,0,0,0,0,0,0,0,0,0,0,21.55,36.85,893.47,179.16,1072.63,22.55,1050.08,937,76,1,sigue,9.123,17.25,0,1
1,4458,7,5,1143.52,335.09,60,50,236.57,367.56,673.86,0,0,0,0,0,0,0,0,0,0,14458,1,4458,1,0,0,0,0,0,0,0,0,235.66,0,41.53,0,2446.25,420.35,2866.6,278.19,2588.41,523,80,243,fue,26.473,42.85,0,0
1,7522,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17522,1,7522,1,0,0,0,0,0,0,0,0,0,0,22.53,38.26,871.38,158.48,1029.86,23.53,1006.33,150,82,1,fue,4.463,9.05,0,0
1,5679,7,5,816.13,242.2,60,60,169.33,0,0,0,0,58.29,0,0,0,0,37.79,0,0,15679,1,5679,1,0,0,0,0,0,0,0,0,0,0,30.13,3.22,1178.33,268.63,1446.96,31.13,1415.83,1837,85,180,sigue,16.869,26.35,0,1
1,7417,7,5,618.52,132.86,60,60,120.22,0,0,0,0,0,0,0,0,0,0,0,0,17417,1,7417,1,0,0,0,0,0,0,0,0,0,0,21.44,38.26,871.38,158.48,1029.86,22.44,1007.42,239,85,1,fue,2.37,6.983333333,0,0
