id_trabajador,depto,TiempoViaje,Distancia,GMU2010,IMU2010,pobtot_10,nDelitos,tDelitos
7910,51,8.496,24.7,Muy bajo,-1.067053405,4564,49,10.73619632
5646,51,12.894,23.85,Muy bajo,-1.189789418,2926,20,6.835269993
7647,51,4.918,18.03333333,Muy bajo,-1.047242949,5150,59,11.45631068
8045,51,10.869,22.48333333,Medio,-0.62139875,1477,672,454.9763033
8106,51,4.304,17.03333333,Medio,-0.302646161,804,177,220.1492537
7664,51,8.216,26.56666667,Bajo,-0.794508471,4901,41,8.365639665
7854,51,6.007,18.61666667,Medio,-0.368591672,5306,0,0
7822,51,7.496,21.01666667,Medio,-0.290766334,6579,0,0
7851,51,7.683,25.61666667,Alto,0.104108935,3877,41,10.575187
2233,51,23.314,34.41666667,Muy bajo,-1.273729677,1131,0,0
1419,51,5.331,20,Bajo,-0.697708341,6901,81,11.73742936
1905,51,16.816,27.2,Muy bajo,-1.040562879,4727,47,9.94288132
6083,51,31.195,54.91666667,Medio,-0.262822065,9854,0,0
8039,51,23.492,31.36666667,Alto,0.051746099,3270,0,0
3652,51,12.342,19.1,Bajo,-0.741870809,1212,0,0
7168,51,6.153,13.36666667,Medio,-0.413033811,6431,32,4.975897994
7666,51,7.522,20.03333333,Muy bajo,-1.063541334,1774,0,0
4914,51,9.045,26.98333333,Alto,0.075744027,3015,0,0
7943,51,3.289,8.533333333,Muy bajo,-1.217090107,2055,10,4.866180049
4647,51,2.524,8.85,Medio,-0.505153413,4771,0,0
7832,51,7.216,15.03333333,Bajo,-0.774039766,950,6,6.315789474
6360,52,2.478,8.583333333,Alto,0.113418979,6290,49,7.790143084
7693,52,5.412,18.13333333,Alto,0.537381235,6062,53,8.742989113
7652,52,2.037,5.75,Alto,0.449771699,2582,8,3.098373354
8011,52,21.152,52.8,Alto,0.472493436,4137,0,0
8145,52,19.32,44.88333333,Alto,0.574580733,2027,0,0
8085,52,5.816,18.61666667,Muy alto,1.427937821,356,1,2.808988764
7605,52,6.744,15.1,Bajo,-0.70342869,2572,12,4.66562986
8133,52,2.478,8.583333333,Alto,0.113418979,6290,49,7.790143084
7758,52,11.232,31.66666667,Medio,-0.095579282,7549,75,9.93509074
7850,52,1.632,5.533333333,Bajo,-0.824603787,2030,7,3.448275862
7634,52,11.981,28.18333333,Medio,-0.373295921,3933,46,11.69590643
8025,52,3.691,8.05,Medio,-0.078867714,9740,102,10.47227926
7523,52,7.139,18.96666667,Bajo,-0.678220973,3477,43,12.36698303
8061,52,4.528,12.96666667,Bajo,-0.953826807,1331,13,9.767092412
6885,52,2.478,8.583333333,Alto,0.113418979,6290,49,7.790143084
8007,52,15.679,42.98333333,NA,NA,NA,0,NA
8048,52,4.397,11.58333333,Alto,0.216766915,7163,66,9.214016474
7645,52,3.233,12.2,Alto,0.301937078,3680,26,7.065217391
2413,52,4.489,15.15,Medio,-0.103113051,4481,70,15.62151306
7392,52,4.489,15.15,Medio,-0.103113051,4481,70,15.62151306
8018,52,21.152,52.8,Alto,0.472493436,4137,0,0
8055,52,10.662,33.08333333,NA,NA,NA,0,NA
7569,52,3,7.6,Bajo,-0.652797246,3116,29,9.306803594
7770,52,4.528,12.96666667,Bajo,-0.953826807,1331,13,9.767092412
7578,52,2.037,5.75,Alto,0.449771699,2582,8,3.098373354
7489,52,4.489,15.15,Medio,-0.103113051,4481,70,15.62151306
3218,52,23.639,53.43333333,Alto,0.820802431,4565,0,0
4008,52,18.322,31.33333333,Alto,0.237539953,4041,49,12.12571146
8036,52,22.923,56.01666667,Medio,-0.404005052,4801,0,0
7644,52,8.495,24.33333333,Bajo,-0.709921791,7707,73,9.471908654
8086,52,10.662,33.08333333,NA,NA,NA,0,NA
7839,52,12.468,28.68333333,Medio,-0.61246988,9292,0,0
7660,52,16.998,45.6,Medio,-0.174473168,9254,65,7.023989626
7276,52,12.519,34.16666667,Alto,0.115597876,5530,31,5.605786618
6379,52,4.489,15.15,Medio,-0.103113051,4481,70,15.62151306
8154,52,5.424,18.1,Alto,0.344383894,3440,27,7.848837209
7696,52,2.88,9.066666667,Muy bajo,-0.999307958,5487,74,13.48642245
7604,52,6.319,20.68333333,Bajo,-0.877748757,2103,3,1.426533524
5905,52,2.478,8.583333333,Alto,0.113418979,6290,49,7.790143084
7987,52,2.037,5.75,Alto,0.449771699,2582,8,3.098373354
7653,52,6.837,20.66666667,Medio,-0.579465381,5312,62,11.67168675
8013,52,6.744,15.1,Bajo,-0.70342869,2572,12,4.66562986
7779,52,8.185,18.5,Bajo,-0.684679015,11528,80,6.93962526
5761,52,7.348,19.21666667,Bajo,-0.645568602,1512,1,0.661375661
7949,52,2.037,5.75,Alto,0.449771699,2582,8,3.098373354
8134,52,3,7.6,Bajo,-0.652797246,3116,29,9.306803594
4504,52,19.32,44.88333333,Alto,0.574580733,2027,0,0
7715,52,12.519,34.16666667,Alto,0.115597876,5530,31,5.605786618
7642,52,8.026,20.38333333,Muy bajo,-1.372391192,1692,20,11.82033097
7998,52,11.232,31.66666667,Medio,-0.095579282,7549,75,9.93509074
6565,52,6.856,21.05,Medio,-0.313754751,6464,42,6.497524752
8001,52,8.463,21.68333333,Alto,0.177715289,4673,41,8.773806976
7571,52,2.037,5.75,Alto,0.449771699,2582,8,3.098373354
7478,52,6.744,15.1,Bajo,-0.70342869,2572,12,4.66562986
7951,52,21.152,52.8,Alto,0.472493436,4137,0,0
7914,52,8.338,17.78333333,Medio,-0.123095317,4751,86,18.10145233
7378,52,1.104,3.433333333,Medio,-0.435696201,5738,58,10.10805159
7712,52,6.744,15.1,Bajo,-0.70342869,2572,12,4.66562986
