oid,id_trabajador,TiempoViaje,Distancia
423,7104,15.619,28.06666667
424,8091,16.291,31.53333333
425,7959,5.668,17.8
426,8019,8.516,17.4
427,3321,12.108,22.48333333
428,7940,6,18.73333333
429,7985,7.787,16.31666667
430,6028,18.703,37.86666667
431,5644,14.658,28.46666667
432,3221,5.146,13.93333333
433,6461,30.489,44.53333333
434,7861,7.083,18.73333333
435,7864,5.994,19.55
436,7710,2.37,6.983333333
437,7908,3.412,8.65
438,7905,10.952,15.25
439,6657,10.952,15.25
440,7895,5.213,9.733333333
441,7859,8.507,14.65
442,7916,2.37,6.983333333
443,7528,2.37,6.983333333
444,7953,7.083,18.73333333
445,7545,8.99,17.6
446,7936,3.412,8.65
447,7430,9.964,19.56666667
448,7955,16.741,36.25
449,7874,2.37,6.983333333
450,7923,41.341,55.45
451,7918,2.637,3.683333333
452,7903,2.37,6.983333333
453,7706,5.994,19.55
454,7503,8.507,14.65
455,7876,18.099,33.01666667
456,7860,7.083,18.73333333
457,7954,9.894,14.15
458,7969,5.994,19.55
459,7899,22.881,35.16666667
460,7862,3.29,8.85
461,7922,4.979,11.85
462,7962,4.897,8.883333333
463,8138,6.142,17.53333333
464,4775,12.899,19.28333333
465,8015,11.415,27.11666667
466,7966,18.787,39.06666667
467,7298,20.243,51.81666667
468,8058,9.104,24.76666667
469,7849,32.277,69.11666667
470,8041,22.119,35.08333333
471,7857,16.756,26.73333333
472,8141,27.49,56.46666667
473,5636,15.519,23.66666667
474,8078,22.538,50.93333333
475,7979,9.862,21.1
476,3160,11.688,23.4
477,7933,35.253,49.28333333
478,7997,13.544,20.33333333
479,7655,13.484,20.88333333
480,6504,11.491,21.63333333
481,3169,12.123,23.25
482,8031,6.285,18.08333333
483,7901,21.996,22
484,7844,5.877,11.9
485,7885,5.154,13.91666667
486,6321,11.491,21.63333333
487,5139,8.76,21.71666667
488,7887,2.385,6.15
489,7900,12.141,14.7
490,7873,10.595,21.35
491,8146,5.238,10.11666667
492,7907,13.969,27.81666667
493,5396,17.808,35.46666667
494,6978,9.123,17.25
495,7865,12.835,34.45
496,7536,5.861,17.06666667
497,6839,18.113,49.95
498,6014,11.263,26.96666667
499,366,NA,NA
500,3979,NA,NA
501,8087,NA,NA
502,4137,NA,NA
503,6682,NA,NA
504,214,NA,NA
505,6934,NA,NA
506,3890,NA,NA
507,8100,NA,NA
508,4807,NA,NA
509,8104,8.223,23.43333333
510,7942,4.387,10.46666667
511,7977,5.75,11.88333333
512,8006,7.907,18.26666667
513,7935,5.28,10.53333333
514,8005,6.656,15.6
515,7939,7.876,20.15
516,8052,6.627,12.13333333
517,7928,10.64,24.23333333
518,7981,7.907,18.26666667
519,7950,6.666,12.23333333
520,8051,8.545,19.83333333
521,1424,6.741,13.81666667
522,7551,10.344,22.16666667
523,7982,8.69,20.15
