codigo_x,prediction,actual,VEREDICTO,RECALL,
5181,1,1,OK,-,
7699,1,0,MISS,-,
7392,1,0,MISS,-,
3827,1,1,OK,-,
3321,1,1,OK,-,
8086,0,1,MISS,FN,
7528,1,1,OK,-,
7737,1,0,MISS,-,
7960,0,0,OK,-,
3169,1,1,OK,-,
6934,1,1,OK,-,
366,1,1,OK,-,
8150,1,1,OK,-,
4775,1,1,OK,-,
5558,1,1,OK,-,
6213,0,0,OK,-,
7614,1,1,OK,-,
7542,1,1,OK,-,
5588,1,1,OK,-,
7137,1,1,OK,-,
6658,0,0,OK,-,
7080,1,1,OK,-,
7773,1,1,OK,-,
6638,1,1,OK,-,
7376,0,0,OK,-,
4807,1,1,OK,-,
7757,0,0,OK,-,
4137,1,1,OK,-,
7170,1,1,OK,-,
5412,1,1,OK,-,
8052,1,1,OK,-,
6638,1,1,OK,-,
7280,1,0,MISS,-,
8009,1,1,OK,-,
6083,1,1,OK,-,
7226,1,1,OK,-,
7168,1,1,OK,-,
5447,1,1,OK,-,
6765,1,1,OK,-,
6028,1,1,OK,-,
7619,1,0,MISS,-,
7741,1,1,OK,-,
7407,1,1,OK,-,
5027,1,1,OK,-,
4746,1,1,OK,-,
854,1,1,OK,-,
3890,1,1,OK,-,
7226,1,1,OK,-,
7528,1,0,MISS,-,
7952,0,0,OK,-,
7814,1,1,OK,-,
7909,1,1,OK,-,
236,1,1,OK,-,
2112,1,1,OK,-,
7693,1,0,MISS,-,
7685,1,1,OK,-,
5232,1,1,OK,-,
6014,1,1,OK,-,
7811,0,1,MISS,FN,
7857,0,0,OK,-,
5280,1,1,OK,-,
7330,1,1,OK,-,
7536,1,1,OK,-,
7269,1,1,OK,-,
7314,0,0,OK,-,
7545,1,1,OK,-,
7312,1,0,MISS,-,
7737,1,1,OK,-,
7938,0,0,OK,-,
6210,1,1,OK,-,
7932,1,0,MISS,-,
3894,0,0,OK,-,
7428,1,1,OK,-,
7430,1,1,OK,-,
7770,0,1,MISS,FN,
3217,1,0,MISS,-,
7814,1,1,OK,-,
7798,1,1,OK,-,
7782,1,0,MISS,-,
7057,1,1,OK,-,
7685,1,1,OK,-,
6978,1,1,OK,-,
5506,0,0,OK,-,
7715,1,0,MISS,-,
5139,1,1,OK,-,
7503,0,1,MISS,FN,
6205,1,1,OK,-,
442,1,1,OK,-,
5396,1,1,OK,-,
4314,1,1,OK,-,
6321,0,0,OK,-,
7742,0,0,OK,-,
6206,1,1,OK,-,
7975,0,0,OK,-,
7708,1,1,OK,-,
6918,1,0,MISS,-,
7963,1,1,OK,-,
7645,0,0,OK,-,
8093,1,0,MISS,-,
6600,1,1,OK,-,
1269,1,1,OK,-,
4008,1,0,MISS,-,
7617,0,0,OK,-,
5679,1,0,MISS,-,
3318,1,1,OK,-,
7660,1,0,MISS,-,
3318,1,1,OK,-,
214,1,1,OK,-,
7774,1,1,OK,-,
7618,1,1,OK,-,
6014,1,1,OK,-,
1123,1,1,OK,-,
7892,0,0,OK,-,
8145,1,1,OK,-,
3160,1,1,OK,-,
5965,1,1,OK,-,
3780,1,1,OK,-,
5506,1,0,MISS,-,
7555,0,0,OK,-,
7530,1,1,OK,-,
7212,0,0,OK,-,
5933,1,1,OK,-,
7706,1,1,OK,-,
7168,1,1,OK,-,
7735,0,0,OK,-,
6205,1,1,OK,-,
6203,1,1,OK,-,
7080,1,1,OK,-,
7880,1,0,MISS,-,
7975,0,0,OK,-,
7873,1,1,OK,-,
5679,0,1,MISS,FN,
7012,0,0,OK,-,
6658,1,0,MISS,-,
7943,1,1,OK,-,
2233,0,0,OK,-,
5506,0,0,OK,-,
7785,1,0,MISS,-,
7312,1,0,MISS,-,
7996,1,1,OK,-,
5232,1,1,OK,-,
7607,1,0,MISS,-,
7168,1,1,OK,-,
3326,1,1,OK,-,
7699,0,0,OK,-,
5412,1,1,OK,-,
7890,1,1,OK,-,
849,1,1,OK,-,
6205,1,1,OK,-,
5181,1,1,OK,-,
7861,0,0,OK,-,
5646,1,1,OK,-,
7849,1,1,OK,-,
6685,1,1,OK,-,
6014,1,1,OK,-,
7430,1,1,OK,-,
3890,1,1,OK,-,
5644,1,1,OK,-,
7430,1,1,OK,-,
3525,1,1,OK,-,
7823,1,0,MISS,-,
4775,1,1,OK,-,
442,1,1,OK,-,
236,1,0,MISS,-,
3321,1,1,OK,-,
7883,0,0,OK,-,
7701,0,0,OK,-,
7818,1,1,OK,-,
7057,0,0,OK,-,
6565,1,1,OK,-,
7673,1,0,MISS,-,
7664,1,1,OK,-,
8039,1,0,MISS,-,
4044,1,1,OK,-,
7645,0,0,OK,-,
8023,1,1,OK,-,
4458,1,0,MISS,-,
7061,1,0,MISS,-,
