,codigo_x,prediction,actual,veredict,recall,
325,7719,fue,fue,TP,-,
326,7841,fue,fue,TP,-,
327,7846,sigue,sigue,TP,-,
328,7421,fue,fue,TP,-,
329,7776,fue,fue,TP,-,
330,7823,fue,fue,TP,-,
331,7298,sigue,sigue,TP,-,
332,7758,sigue,fue,FP,FN,
333,5396,sigue,sigue,TP,-,
334,5704,sigue,fue,FP,FN,
335,7503,fue,fue,TP,-,
336,7588,sigue,fue,FP,FN,
337,7821,sigue,fue,FP,FN,
338,5588,sigue,fue,FP,FN,
339,6203,sigue,sigue,TP,-,
340,6582,sigue,fue,FP,FN,
341,7392,sigue,fue,FP,FN,
342,7226,sigue,sigue,TP,-,
343,7664,fue,fue,TP,-,
344,7766,sigue,fue,FP,FN,
345,3326,sigue,sigue,TP,-,
346,449,sigue,sigue,TP,-,
347,6934,sigue,sigue,TP,-,
348,7770,fue,fue,TP,-,
349,7137,sigue,sigue,TP,-,
350,6682,sigue,sigue,TP,-,
351,1269,sigue,sigue,TP,-,
352,6006,fue,fue,TP,-,
353,1419,sigue,sigue,TP,-,
354,3525,sigue,sigue,TP,-,
355,6885,sigue,sigue,TP,-,
356,4775,sigue,sigue,TP,-,
357,7528,sigue,fue,FP,FN,
358,4832,sigue,sigue,TP,-,
359,7836,fue,fue,TP,-,
360,7824,fue,fue,TP,-,
361,3321,sigue,sigue,TP,-,
362,2112,sigue,fue,FP,FN,
363,624,sigue,sigue,TP,-,
364,6877,sigue,fue,FP,FN,
365,4385,sigue,sigue,TP,-,
366,7378,sigue,fue,FP,FN,
367,366,sigue,sigue,TP,-,
368,7755,fue,fue,TP,-,
369,6206,sigue,sigue,TP,-,
370,4366,fue,fue,TP,-,
371,4366,fue,fue,TP,-,
372,366,sigue,sigue,TP,-,
373,366,sigue,sigue,TP,-,
374,7618,sigue,sigue,TP,-,
375,7840,fue,fue,TP,-,
376,7505,sigue,fue,FP,FN,
377,6600,sigue,sigue,TP,-,
378,7685,sigue,sigue,TP,-,
379,7331,sigue,fue,FP,FN,
380,5933,sigue,sigue,TP,-,
381,7170,sigue,sigue,TP,-,
382,5201,sigue,sigue,TP,-,
383,3890,sigue,sigue,TP,-,
384,7834,sigue,sigue,TP,-,
385,7851,fue,fue,TP,-,
386,3652,sigue,fue,FP,FN,
387,1123,sigue,sigue,TP,-,
388,4044,sigue,fue,FP,FN,
389,7593,sigue,fue,FP,FN,
390,7259,sigue,sigue,TP,-,
391,7312,sigue,fue,FP,FN,
392,7338,sigue,sigue,TP,-,
393,5677,sigue,sigue,TP,-,
394,7737,fue,fue,TP,-,
395,4008,fue,fue,TP,-,
396,6210,sigue,fue,FP,FN,
397,6213,fue,fue,TP,-,
398,7812,fue,fue,TP,-,
399,849,sigue,sigue,TP,-,
400,7536,sigue,sigue,TP,-,
401,7430,sigue,fue,FP,FN,
402,5181,sigue,sigue,TP,-,
403,7655,sigue,fue,FP,FN,
404,7057,fue,fue,TP,-,
405,5558,sigue,sigue,TP,-,
406,4746,sigue,fue,FP,FN,
407,7663,sigue,sigue,TP,-,
408,7407,sigue,fue,FP,FN,
409,7828,fue,fue,TP,-,
410,7773,fue,sigue,FP,-,
411,7839,sigue,fue,FP,FN,
412,1424,sigue,sigue,TP,-,
413,5280,sigue,sigue,TP,-,
414,7742,fue,fue,TP,-,
415,7853,fue,fue,TP,-,
416,6461,sigue,sigue,TP,-,
417,6765,sigue,sigue,TP,-,
418,7694,fue,fue,TP,-,
419,6657,sigue,fue,FP,FN,
420,5000,sigue,sigue,TP,-,
421,5644,sigue,sigue,TP,-,
422,6638,sigue,sigue,TP,-,
423,7800,fue,sigue,FP,-,
424,6690,sigue,sigue,TP,-,
